data,chuva_mm_dia,pressao_hpa,temperatura_c,temp_max_c,temp_min_c,umidade_pct,ano,evento_extremo
2014-01-01,0.0,1001.3208333333333,27.358333333333334,33.6,23.7,73.66666666666667,2014,0
2014-01-02,0.4,996.9625,28.037499999999998,33.5,24.8,73.125,2014,0
2014-01-03,13.8,1003.1166666666667,21.8625,23.3,19.5,88.70833333333333,2014,0
2014-01-04,0.0,1012.1125000000001,22.454166666666666,27.8,17.6,62.875,2014,0
2014-01-05,0.0,1010.9458333333333,24.358333333333334,31.5,17.9,62.583333333333336,2014,0
2014-01-06,0.0,1009.4125,25.875,33.8,19.5,65.16666666666667,2014,0
2014-01-07,0.0,1005.0958333333333,28.78333333333333,35.4,22.4,59.166666666666664,2014,0
2014-01-08,0.0,1003.2958333333332,27.004166666666666,29.5,23.8,66.0,2014,0
2014-01-09,0.0,1005.6333333333333,26.008333333333336,32.0,21.4,73.41666666666667,2014,0
2014-01-10,21.2,1004.8375,24.979166666666668,31.3,21.6,78.875,2014,0
2014-01-11,5.4,1006.6666666666666,23.016666666666666,28.6,20.1,85.125,2014,0
2014-01-12,5.3999999999999995,1011.6999999999999,22.4375,26.3,19.7,86.45833333333333,2014,0
2014-01-13,1.8,1009.775,24.141666666666666,28.5,21.5,81.91666666666667,2014,0
2014-01-14,6.0,1006.8416666666667,25.108333333333334,30.6,21.3,79.16666666666667,2014,0
2014-01-15,6.2,1006.3125,23.566666666666666,27.8,21.7,84.625,2014,0
2014-01-16,0.0,1007.0500000000001,25.02916666666667,30.8,19.2,71.66666666666667,2014,0
2014-01-17,0.0,1007.8208333333333,26.008333333333336,34.0,19.1,69.08333333333333,2014,0
2014-01-18,0.0,1007.9291666666667,26.90833333333333,35.9,20.1,66.66666666666667,2014,0
2014-01-19,0.0,1005.8874999999999,28.583333333333332,36.2,22.2,59.0,2014,0
2014-01-20,0.0,1004.5083333333333,30.275000000000002,36.9,23.7,50.541666666666664,2014,0
2014-01-21,0.0,1002.4666666666667,30.245833333333334,37.1,22.4,41.458333333333336,2014,0
2014-01-22,0.0,1003.9208333333332,30.629166666666666,36.4,25.6,60.791666666666664,2014,0
2014-01-23,0.0,1003.5166666666668,30.862499999999997,36.9,25.1,61.166666666666664,2014,0
2014-01-24,0.0,1001.2791666666667,30.95,37.2,26.6,60.708333333333336,2014,0
2014-01-25,7.2,1009.5583333333334,21.920833333333334,25.3,19.7,82.125,2014,0
2014-01-26,2.2,1010.1916666666666,22.4375,26.5,19.6,82.375,2014,0
2014-01-27,0.4,1008.1916666666666,27.429166666666664,34.9,22.5,72.5,2014,0
2014-01-28,2.6,1006.7833333333333,29.445833333333336,36.9,24.5,67.70833333333333,2014,0
2014-01-29,0.0,1006.9375,30.075,37.5,25.4,64.375,2014,0
2014-01-30,0.7999999999999999,1007.0791666666668,28.925,37.0,24.0,69.5,2014,0
2014-01-31,2.2,1007.0708333333333,26.45,31.6,23.2,71.33333333333333,2014,0
2014-02-01,6.4,1006.3249999999999,26.925,34.1,22.4,68.875,2014,0
2014-02-02,0.2,1004.3666666666667,29.041666666666668,37.3,22.5,65.70833333333333,2014,0
2014-02-03,0.2,1003.5625,30.645833333333332,37.2,24.9,62.791666666666664,2014,0
2014-02-04,0.0,1004.7166666666667,29.620833333333334,37.7,25.5,59.791666666666664,2014,0
2014-02-05,0.0,1004.9708333333333,31.683333333333334,39.4,25.0,59.916666666666664,2014,0
2014-02-06,0.0,1004.3958333333334,32.46666666666667,40.2,26.9,56.125,2014,0
2014-02-07,0.0,1004.3458333333333,32.35,39.4,27.3,64.75,2014,0
2014-02-08,6.6,1005.3375,29.65833333333333,33.7,21.9,66.08333333333333,2014,0
2014-02-09,0.0,1004.8666666666667,29.070833333333336,37.2,24.3,62.333333333333336,2014,0
2014-02-10,20.2,1008.1708333333332,28.729166666666668,35.4,22.9,69.70833333333333,2014,0
2014-02-11,1.8,1006.4791666666666,28.349999999999998,36.9,22.5,70.45833333333333,2014,0
2014-02-12,1.6,1003.3708333333334,28.620833333333334,34.5,23.6,74.70833333333333,2014,0
2014-02-13,13.799999999999999,1005.1333333333333,23.59583333333333,29.4,19.9,85.625,2014,0
2014-02-14,32.8,1011.5,21.125,24.8,18.4,80.91666666666667,2014,1
2014-02-15,0.0,1017.2375000000001,22.441666666666666,26.1,19.5,63.375,2014,0
2014-02-16,0.0,1016.3458333333333,22.675,27.4,18.4,68.16666666666667,2014,0
2014-02-17,0.0,1014.0833333333334,24.004166666666666,29.0,20.1,71.625,2014,0
2014-02-18,0.0,1011.8958333333334,24.808333333333334,29.3,20.5,68.125,2014,0
2014-02-19,0.0,1008.75,25.570833333333336,30.8,21.4,65.33333333333333,2014,0
2014-02-20,0.2,1005.9041666666667,24.03333333333333,26.7,21.7,73.54166666666667,2014,0
2014-02-21,0.4,1005.5208333333334,26.370833333333334,32.3,21.9,73.95833333333333,2014,0
2014-02-22,1.4,1006.0749999999999,25.979166666666668,31.3,22.6,74.04166666666667,2014,0
2014-02-23,5.6,1004.3958333333334,24.291666666666668,29.4,22.0,83.08333333333333,2014,0
2014-02-24,0.0,1004.225,26.016666666666666,31.9,21.8,73.16666666666667,2014,0
2014-02-25,10.8,1007.3000000000001,25.037499999999998,28.3,22.4,80.875,2014,0
2014-02-26,25.2,1006.5416666666666,22.337500000000002,23.4,21.1,93.83333333333333,2014,0
2014-02-27,21.8,1005.0541666666667,19.825,22.0,17.8,91.75,2014,0
2014-02-28,0.4,1005.5458333333332,20.554166666666667,26.1,17.7,81.54166666666667,2014,0
2014-03-01,0.0,1005.8625000000001,21.333333333333332,26.3,17.8,76.125,2014,0
2014-03-02,0.0,1008.7916666666666,22.366666666666664,26.8,17.6,73.33333333333333,2014,0
2014-03-03,0.0,1009.85,22.895833333333332,27.9,19.5,74.33333333333333,2014,0
2014-03-04,15.4,1008.1750000000001,23.879166666666666,29.5,20.2,77.54166666666667,2014,0
2014-03-05,3.2,1006.4416666666666,24.133333333333336,28.2,21.7,78.20833333333333,2014,0
2014-03-06,0.0,1006.7458333333334,24.233333333333334,29.4,20.5,75.375,2014,0
