data,chuva_mm_dia,pressao_hpa,temperatura_c,temp_max_c,temp_min_c,umidade_pct,ano,evento_extremo,chuva_lag1,chuva_lag2,pressao_lag1,chuva_mm7d,temp_mm7d,umid_mm7d,pressao_delta,mes_1,mes_2,mes_3,mes_4,mes_5,mes_6,mes_7,mes_8,mes_9,mes_10,mes_11,mes_12
2014-01-05,0.0,1010.9458333333332,24.35833333333333,31.5,17.9,62.583333333333336,2014,0,0.0,13.8,1012.1125,3.5500000000000003,24.928125,74.59375,-1.1666666666667425,1,0,0,0,0,0,0,0,0,0,0,0
2014-01-06,0.0,1009.4125,25.875,33.8,19.5,65.16666666666667,2014,0,0.0,0.0,1010.9458333333332,2.8400000000000003,24.814166666666665,72.19166666666666,-1.5333333333331893,1,0,0,0,0,0,0,0,0,0,0,0
2014-01-07,0.0,1005.0958333333332,28.78333333333333,35.4,22.4,59.16666666666666,2014,0,0.0,0.0,1009.4125,2.3666666666666667,24.990972222222222,71.02083333333333,-4.316666666666833,1,0,0,0,0,0,0,0,0,0,0,0
2014-01-08,0.0,1003.2958333333332,27.004166666666663,29.5,23.8,66.0,2014,0,0.0,0.0,1005.0958333333332,2.028571428571429,25.532738095238095,69.32738095238095,-1.7999999999999545,1,0,0,0,0,0,0,0,0,0,0,0
2014-01-09,0.0,1005.6333333333332,26.008333333333336,32.0,21.4,73.41666666666667,2014,0,0.0,0.0,1003.2958333333332,2.028571428571429,25.482142857142858,68.23214285714286,2.3374999999999773,1,0,0,0,0,0,0,0,0,0,0,0
2014-01-10,21.2,1004.8375,24.979166666666668,31.3,21.6,78.875,2014,0,0.0,0.0,1005.6333333333332,1.9714285714285715,25.1922619047619,68.27380952380952,-0.7958333333332348,1,0,0,0,0,0,0,0,0,0,0,0
2014-01-11,5.4,1006.6666666666666,23.016666666666666,28.6,20.1,85.125,2014,0,21.2,0.0,1004.8375,3.0285714285714285,25.6375,66.86904761904762,1.8291666666666515,1,0,0,0,0,0,0,0,0,0,0,0
2014-01-12,5.4,1011.7,22.4375,26.3,19.7,86.45833333333333,2014,0,5.4,21.2,1006.6666666666666,3.8000000000000003,25.717857142857138,70.04761904761905,5.033333333333417,1,0,0,0,0,0,0,0,0,0,0,0
2014-01-13,1.8,1009.775,24.141666666666666,28.5,21.5,81.91666666666667,2014,0,5.4,5.4,1011.7,4.571428571428571,25.44345238095238,73.45833333333334,-1.9250000000000682,1,0,0,0,0,0,0,0,0,0,0,0
2014-01-14,6.0,1006.8416666666668,25.10833333333333,30.6,21.3,79.16666666666667,2014,0,1.8,5.4,1009.775,4.828571428571428,25.195833333333333,75.85119047619048,-2.9333333333331666,1,0,0,0,0,0,0,0,0,0,0,0
